Country,Issuer Name,Series,Bond_Type,Maturity,TTM,Yield,Swap_Rate,Spread_bps,Coupon,Amount
Italie,Italy Buoni Poliennali Del Tesoro,7Y,Nominal,2031-07-15,7.145790554414784,2.868618325114003,2.6153511293634497,25.32671957505532,3.45,19200000000.0
Italie,Italy Buoni Poliennali Del Tesoro,30Y,Nominal,2053-10-01,29.360711841204655,4.350548543975963,3.1282557152635184,122.22928287124444,4.5,14500000000.0
Italie,Italy Buoni Poliennali Del Tesoro,5Y,Nominal,2030-07-01,6.108145106091718,2.6951662333210447,2.539002737850787,15.616349547025754,2.95,18075000000.0
Italie,Italy Buoni Poliennali Del Tesoro,5Y,Nominal,2029-10-01,5.360711841204655,2.5693352293266747,2.4817748117727585,8.75604175539162,3.0,16200000000.0
Italie,Italy Buoni Poliennali Del Tesoro,15Y,Nominal,2040-10-01,16.361396303901437,3.909176854591112,3.0425051334702258,86.66717211208864,3.85,16850000000.0
Italie,Italy Buoni Poliennali Del Tesoro,2Y,Nominal,2027-02-25,2.7624914442162902,2.1524231108567937,2.2628117727583845,-11.03886619015908,2.55,17150000000.0
Italie,Italy Buoni Poliennali Del Tesoro,2Y,Nominal,2026-08-28,2.2669404517453797,2.0724261432892632,2.2206899383983574,-14.826379510909415,3.1,14256167000.0
Italie,Italy Buoni Poliennali Del Tesoro,16Y,Nominal,2035-03-01,10.77344284736482,3.3468241777978136,2.841539356605065,50.528482119274855,3.35,22604000000.0
Italie,Italy Buoni Poliennali Del Tesoro,10Y,Nominal,2033-11-01,9.44558521560575,3.209643023812192,2.766289527720739,44.33534960914529,4.35,20200000000.0
Italie,Italy Buoni Poliennali Del Tesoro,50Y,Nominal,2072-03-01,47.775496235455165,4.166654518352808,3.05190212183436,111.4752396518448,2.15,8650000000.0
Italie,Italy Buoni Poliennali Del Tesoro,3Y,Nominal,2028-06-15,4.0657084188911705,2.32724344701305,2.377388090349076,-5.01446433360262,2.65,15940686000.0
Italie,Italy Buoni Poliennali Del Tesoro,10Y,Nominal,2034-07-01,10.108145106091717,3.3050150385961485,2.8049479808350446,50.006705776110394,3.85,19521883000.0
Italie,Italy Buoni Poliennali Del Tesoro,31Y,Nominal,2037-02-01,12.698151950718685,3.5480690627233358,2.9305297741273098,61.7539288596026,4.0,34219008000.0
Italie,Italy Buoni Poliennali Del Tesoro,5Y,Nominal,2030-10-01,6.360027378507871,2.7431468618362542,2.5576420260095825,18.550483582667177,2.7,18250000000.0
Italie,Italy Buoni Poliennali Del Tesoro,31Y,Nominal,2051-09-01,27.277207392197127,4.242272437867278,3.129089117043121,111.31833208241572,1.7,17375000000.0
Italie,Italy Buoni Poliennali Del Tesoro,31Y,Nominal,2048-03-01,23.77549623545517,4.1650401573001705,3.1246121834360028,104.04279738641678,3.45,19881254000.0
Italie,Italy Buoni Poliennali Del Tesoro,3Y,Nominal,2027-07-15,3.1457905544147846,2.1801509664758134,2.2959753593429157,-11.582439286710233,3.45,14121391000.0
Italie,Italy Buoni Poliennali Del Tesoro,2Y,Nominal,2027-08-26,3.260780287474333,2.205444887635899,2.3062094455852153,-10.076455794931638,2.1,16876496000.0
Italie,Italy Buoni Poliennali Del Tesoro,10Y,Nominal,2032-12-01,8.528405201916495,3.060128427779807,2.7098179329226557,35.031049485715116,2.5,23188000000.0
Italie,Italy Buoni Poliennali Del Tesoro,30Y,Nominal,2049-09-01,25.27857631759069,4.192116632030074,3.1298885694729637,106.22280625571103,3.85,18117966000.0
Italie,Italy Buoni Poliennali Del Tesoro,20Y,Nominal,2046-04-30,21.93839835728953,4.11217020213317,3.116528952772074,99.56412493610958,4.1,5000000000.0
Italie,Italy Buoni Poliennali Del Tesoro,3Y,Nominal,2027-10-15,3.3976728268309375,2.2213133665954565,2.3183928815879535,-9.7079514992497,2.7,15400000000.0
Italie,Italy Buoni Poliennali Del Tesoro,15Y,Nominal,2039-10-01,15.359342915811089,3.8258423253950014,3.024468172484599,80.13741529104021,4.15,16600000000.0
Italie,Italy Buoni Poliennali Del Tesoro,10Y,Nominal,2035-10-01,11.359342915811089,3.4649816795183863,2.8719671457905545,59.301453372783186,3.6,20523784000.0
Italie,Italy Buoni Poliennali Del Tesoro,8Y,Nominal,2031-10-30,7.438740588637919,2.868793091341182,2.6361505817932924,23.264250954788945,4.0,13025573000.0
Italie,Italy Buoni Poliennali Del Tesoro,50Y,Nominal,2067-03-01,42.77344284736482,4.308438993371211,3.080914031485284,122.75249618859267,2.8,10633000000.0
Italie,Italy Buoni Poliennali Del Tesoro,10Y,Nominal,2034-03-01,9.774127310061601,3.2588880572902434,2.7856735112936346,47.32145459966088,4.2,20173518000.0
Italie,Italy Buoni Poliennali Del Tesoro,30Y,Nominal,2052-09-01,28.279260780287473,4.266155335642607,3.128688295687885,113.74670399547222,2.15,9102430000.0
Italie,Italy Buoni Poliennali Del Tesoro,10Y,Nominal,2033-05-01,8.941820670773442,3.1266807571275423,2.7362765229295003,39.040423419804206,4.4,21350000000.0
Italie,Italy Buoni Poliennali Del Tesoro,10Y,Nominal,2032-06-01,8.02737850787132,2.9737188765553757,2.677752224503765,29.596665205161088,0.95,22600000000.0
Italie,Italy Buoni Poliennali Del Tesoro,20Y,Nominal,2043-09-01,19.277207392197127,4.050947823383866,3.094989733059548,95.59580903243176,4.45,14900000000.0
Italie,Italy Buoni Poliennali Del Tesoro,24Y,Nominal,2045-04-30,20.93908281998631,4.0658066468953535,3.11213196440794,95.36746824874136,1.5,13500000000.0
Italie,Italy Buoni Poliennali Del Tesoro,7Y,Nominal,2032-07-15,8.147843942505133,3.0394803004041293,2.6854620123203286,35.401828808380074,3.25,18617355000.0
Italie,Italy Buoni Poliennali Del Tesoro,15Y,Nominal,2033-09-01,9.27857631759069,3.1600309107067126,2.7564360027378507,40.35949079688619,2.45,22876925000.0
Italie,Italy Buoni Poliennali Del Tesoro,16Y,Nominal,2038-03-01,13.774127310061601,3.6959320242219817,2.971416837782341,72.45151864396408,3.25,16062855000.0
Italie,Italy Buoni Poliennali Del Tesoro,10Y,Nominal,2028-12-01,4.528405201916495,2.3348502804259263,2.415329226557153,-8.047894613122653,2.8,23868192000.0
