"Ticker","Method","Avg_W_RMSE","Avg_Price_RMSE","Avg_Wiggliness","Avg_Tail_Stab","N_fits"
"ELEVER","NSS OLS",0,0.000133333333333333,3.6952,0.174975,12
"ELEVER","NSS WLS",0,0.00015,7.02665833333333,0.0147166666666667,12
"ENELIM","Cubic Spline",0.102275,0.569783333333333,0.0438,4.60129166666667,12
"ENELIM","NSS ECB",0.00999166666666667,0.0617333333333333,13.8241833333333,0.4724,12
"ENELIM","NSS OLS",0.0716166666666667,0.21845,29.7764916666667,8.11888333333333,12
"ENELIM","NSS WLS",0.0374666666666667,0.210825,44.5956583333333,0.977425,12
"ENGIFP","NSS ECB",0,0,0.984908333333333,0.153283333333333,12
"ENGIFP","NSS OLS",5e-05,0.000866666666666667,0.259225,0.0318083333333333,12
"ENGIFP","NSS WLS",1e-04,0.00149166666666667,0.391491666666667,0.0909916666666667,12
"ENIIM","Cubic Spline",0.056225,0.253225,0.287366666666667,1.64075,12
"ENIIM","NSS ECB",0.0653083333333333,0.347908333333333,0.399816666666667,0.35755,12
"ENIIM","NSS OLS",0.0755,0.308066666666667,0.179308333333333,0.335433333333333,12
"ENIIM","NSS WLS",0.0673333333333333,0.383958333333333,0.216183333333333,0.377766666666667,12
"EOANGR","NSS ECB",0,0,0.797733333333333,0.161508333333333,12
"EOANGR","NSS OLS",0,8.33333333333333e-05,0.0817583333333333,0.0790166666666667,12
"EOANGR","NSS WLS",0,9.16666666666667e-05,5.91746666666667,0.064575,12
"F","Cubic Spline",0.026175,0.0787833333333333,3.473975,2.95110833333333,12
"F","NSS ECB",0.0345916666666667,0.107766666666667,419.277141666667,0.418358333333333,12
"F","NSS OLS",0.0364666666666667,0.11295,299.463283333333,0.268433333333333,12
"F","NSS WLS",0.035775,0.112633333333333,35.9340083333333,0.239608333333333,12
"FERROV","Cubic Spline",0.064225,0.395166666666667,0.368116666666667,1.88529166666667,12
"FERROV","NSS ECB",0.0629,0.384558333333333,5.5414,0.651875,12
"FERROV","NSS OLS",0.06905,0.359741666666667,3.6818,1.60245833333333,12
"FERROV","NSS WLS",0.063775,0.380908333333333,1.79596666666667,2.02614166666667,12
"FRPTT","Cubic Spline",0.0470916666666667,0.19375,0.100708333333333,2.9108,12
"FRPTT","NSS ECB",0.0429583333333333,0.208533333333333,0.86425,1.64116666666667,12
"FRPTT","NSS OLS",0.0489333333333333,0.24475,1.19336666666667,0.6612,12
"FRPTT","NSS WLS",0.0489166666666667,0.244658333333333,0.296008333333333,3.29039166666667,12
"GE","Cubic Spline",0.040625,0.253125,0.208841666666667,1.26580833333333,12
"GE","NSS ECB",0.0149916666666667,0.0985666666666667,156.541158333333,1.056075,12
"GE","NSS OLS",0.0261416666666667,0.168033333333333,496.0021,0.890575,12
"GE","NSS WLS",0.0234416666666667,0.155983333333333,6.77343333333333,3.15531666666667,12
"GM","NSS ECB",2.5e-05,4.16666666666667e-05,191.251191666667,0.248383333333333,12
"GM","NSS OLS",0.00256666666666667,0.00444166666666667,2303.738825,0.238383333333333,12
"GM","NSS WLS",0.000225,0.000416666666666667,70.2674833333333,0.156,12
"HEIANA","NSS ECB",0.0444,0.338,51.2956916666667,1.54034166666667,12
"HEIANA","NSS OLS",0.0303666666666667,0.212016666666667,14019.363325,147.630775,12
"HEIANA","NSS WLS",0.0457,0.34785,307.464625,0.557108333333333,12
"HERIM","NSS ECB",0,0,0.944516666666667,0.0177,12
